split_id,protocol,seed,fold,model_id,selected_hyperparameters
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,decision_tree_all,"{""criterion"": ""log_loss"", ""max_depth"": null, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,decision_tree_all,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 5}"
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,decision_tree_all,"{""criterion"": ""log_loss"", ""max_depth"": null, ""min_samples_leaf"": 5}"
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10}"
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 20}"
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 20}"
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": 3, ""min_samples_leaf"": 1}"
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,decision_tree_all,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 5}"
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,decision_tree_all,"{""criterion"": ""log_loss"", ""max_depth"": null, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,decision_tree_all,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 5}"
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,decision_tree_all,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 5}"
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,decision_tree_all,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_leaf"": 10}"
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 2}"
extrapolation_grouped__seed-43__fold-1,extrapolation_grouped,43,1,decision_tree_all,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 20}"
extrapolation_grouped__seed-43__fold-2,extrapolation_grouped,43,2,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_leaf"": 10}"
extrapolation_grouped__seed-43__fold-3,extrapolation_grouped,43,3,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 20}"
extrapolation_grouped__seed-43__fold-4,extrapolation_grouped,43,4,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 2}"
interpolation_holdout__seed-44__fold-0,interpolation_holdout,44,0,decision_tree_all,"{""criterion"": ""log_loss"", ""max_depth"": null, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-44__fold-0,interpolation_stratified,44,0,decision_tree_all,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-44__fold-1,interpolation_stratified,44,1,decision_tree_all,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 5}"
interpolation_stratified__seed-44__fold-2,interpolation_stratified,44,2,decision_tree_all,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 5}"
interpolation_stratified__seed-44__fold-3,interpolation_stratified,44,3,decision_tree_all,"{""criterion"": ""log_loss"", ""max_depth"": null, ""min_samples_leaf"": 20}"
interpolation_stratified__seed-44__fold-4,interpolation_stratified,44,4,decision_tree_all,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_leaf"": 10}"
