candidate_id,model_id,model_family,protocol,split_id,seed,fold,selected_hyperparameters
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-42__fold-2,42,2,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-42__fold-3,42,3,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-42__fold-4,42,4,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-43__fold-0,43,0,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-43__fold-1,43,1,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-43__fold-2,43,2,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-43__fold-3,43,3,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-43__fold-4,43,4,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-44__fold-0,44,0,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-44__fold-1,44,1,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-44__fold-2,44,2,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-44__fold-3,44,3,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,extrapolation_grouped,extrapolation_grouped__seed-44__fold-4,44,4,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-0,42,0,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-1,42,1,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-2,42,2,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-3,42,3,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-4,42,4,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}"
mlp_focal_inverse,mlp_focal_inverse,mlp,lopo,lopo__seed-42__fold-5,42,5,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}"
