model_id,model_family,feature_set,protocol,augmentation,R2_mean,R2_std,R2_median,R2_min,R2_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_median,MAE_min,MAE_max,MAPE_mean,MAPE_std,MAPE_median,MAPE_min,MAPE_max,MBE_mean,MBE_std,MBE_median,MBE_min,MBE_max,NRMSE_mean,NRMSE_std,NRMSE_median,NRMSE_min,NRMSE_max
mlp_baseline,mlp,all,extrapolation_grouped,rd,-0.46795535034685665,1.2666484531681275,0.09979627157422777,-3.3227786088357334,0.2636505367274091,0.018711424919170706,0.006575905273977437,0.016238607352787073,0.012697214121847695,0.032104765020471535,0.008283882363291726,0.0013076473861813015,0.008630492490790564,0.0061145065855251765,0.009586380374777626,1307.9584845662305,618.8840892798721,1347.4369608029988,417.6719200839854,2351.228403309757,0.00026906067366064366,0.003128322533309094,0.0006094062573104089,-0.00650163206621768,0.004873159242084733,2.186154171139311,0.776548077400135,1.9001320610487082,1.2202672748305172,3.6348303493919025
mlp_baseline,mlp,all,extrapolation_grouped,rd_bt,-0.44754344516128297,1.1993001952725704,-0.018972501915995976,-3.521130728192241,0.22161657205879115,0.018734771955585306,0.005939147929522034,0.016181730811904674,0.012428615604421317,0.031233342922034467,0.009033217207279162,0.0022700422975923604,0.008174626800342075,0.0062389269450890536,0.012683045634730914,1601.3840256669773,873.9862293431695,1531.6454851982933,398.0986421693774,3010.8834665406084,0.0013841395921872098,0.003938650632611226,-0.00010223712803021808,-0.0026992433421987524,0.008559995652638744,2.1878838510848766,0.7222481344755207,1.9246976758598202,1.4219456027209694,3.6934944508925103
mlp_baseline,mlp,all,interpolation_random,rd,0.5972500760304467,0.1622573951968739,0.6600034539163596,0.28663901778271605,0.7221607409981676,0.011269590067542065,0.002060271601310377,0.0108934256569298,0.008907823972423675,0.015488202452310236,0.0053147142754756144,0.0014651780038118004,0.00486624962790015,0.004163453394222777,0.009248250676616878,687.5676205929641,625.1917790990569,410.42167019767936,259.3497455982797,2185.3085952708525,-0.0005239792717030415,0.0013766442078850757,-0.0006495183937707861,-0.003229968944846173,0.0015222501016481683,1.2571554593730545,0.24673281900660368,1.204209900464242,1.0294517863942603,1.7216660037976954
mlp_baseline,mlp,all,interpolation_random,rd_bt,0.6483133305729225,0.07110752418179712,0.6464913890852101,0.5396084395819888,0.7738529760072419,0.010680695049767519,0.0013647895602893574,0.010792928824371531,0.008036561246693705,0.012896036560851906,0.005028947348524935,0.0007369316180141654,0.004873399397888362,0.004253663143050036,0.006791476065230793,475.9000262285366,289.5839975122654,370.5955250847955,169.24167807735276,1126.6469139829285,-8.428212627376151e-05,0.0006897162894037032,0.00010561096312996207,-0.0014390659661987829,0.0006779087681730352,1.1875384360835208,0.13537037863534,1.1894053860462597,0.9287624404666698,1.3795549954112354
